                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                     94,                0.51549,                  1.148,                0.31818,                      1,              0.0006865
                     95,                0.56694,                0.64167,                0.77273,                      1,              0.0006832
                     96,                0.58658,                0.81228,                0.68182,                      1,              0.0006799
                     97,                0.56263,                0.81216,                0.72727,                      1,              0.0006766
                     98,                0.49482,                0.49414,                0.90909,                      1,              0.0006733
                     99,                0.52667,                0.40623,                      1,                      1,                0.00067
                    100,                0.49798,                0.70954,                0.77273,                      1,              0.0006667
                    101,                0.50515,                0.95229,                0.59091,                      1,              0.0006634
                    102,                0.48534,                0.76903,                0.72727,                      1,              0.0006601
                    103,                 0.5377,                0.93794,                    0.5,                      1,              0.0006568
                    104,                0.52014,                0.58235,                0.86364,                      1,              0.0006535
                    105,                0.59352,                0.68058,                0.77273,                      1,              0.0006502
                    106,                0.62773,                0.71316,                0.77273,                      1,              0.0006469
                    107,                 0.4742,                 1.4076,                0.59091,                      1,              0.0006436
                    108,                 0.4999,                 1.4868,                0.36364,                      1,              0.0006403
                    109,                0.49512,                0.61177,                0.77273,                      1,               0.000637
                    110,                0.51153,                0.39332,                      1,                      1,              0.0006337
                    111,                0.42889,                0.44215,                0.95455,                      1,              0.0006304
                    112,                0.43569,                0.49788,                0.90909,                      1,              0.0006271
                    113,                0.48692,                0.47304,                0.90909,                      1,              0.0006238
                    114,                0.48845,                0.70704,                0.72727,                      1,              0.0006205
                    115,                 0.4761,                 1.1574,                0.59091,                      1,              0.0006172
                    116,                0.47357,                0.98431,                0.59091,                      1,              0.0006139
                    117,                0.46928,                 1.5264,                    0.5,                      1,              0.0006106
                    118,                0.48115,                 1.6992,                0.36364,                      1,              0.0006073
                    119,                0.48334,                 1.0403,                0.36364,                      1,               0.000604
                    120,                0.50757,                0.78887,                0.72727,                      1,              0.0006007
                    121,                0.52111,                 7.3559,                    0.5,                      1,              0.0005974
                    122,                 0.5388,                 7.7294,                    0.5,                      1,              0.0005941
                    123,                0.47682,                 1.3337,                0.77273,                      1,              0.0005908
                    124,                0.43102,                0.41528,                      1,                      1,              0.0005875
                    125,                0.50384,                 1.1738,                0.59091,                      1,              0.0005842
                    126,                0.44736,                 1.1041,                    0.5,                      1,              0.0005809
                    127,                0.45935,                0.73858,                0.72727,                      1,              0.0005776
                    128,                  0.432,                 1.2049,                0.45455,                      1,              0.0005743
                    129,                0.51934,                0.81088,                0.59091,                      1,               0.000571
                    130,                 0.4911,                 1.1293,                0.59091,                      1,              0.0005677
                    131,                 0.4989,                0.43564,                      1,                      1,              0.0005644
                    132,                0.47305,                0.58677,                0.81818,                      1,              0.0005611
                    133,                0.44012,                 1.2021,                0.59091,                      1,              0.0005578
                    134,                0.53267,                 1.0914,                0.45455,                      1,              0.0005545
                    135,                0.45723,                0.95483,                0.59091,                      1,              0.0005512
                    136,                0.45037,                0.41018,                      1,                      1,              0.0005479
                    137,                0.43714,                0.61701,                0.72727,                      1,              0.0005446
                    138,                0.42964,                0.54198,                0.95455,                      1,              0.0005413
                    139,                0.42406,                0.69629,                0.68182,                      1,               0.000538
                    140,                0.43911,                0.92671,                0.63636,                      1,              0.0005347
                    141,                0.45955,                   1.38,                0.36364,                      1,              0.0005314
                    142,                0.44773,                 1.5694,                0.54545,                      1,              0.0005281
                    143,                0.44989,                 1.0459,                0.59091,                      1,              0.0005248
                    144,                0.52174,                0.43168,                0.95455,                      1,              0.0005215
                    145,                0.40846,                0.39905,                      1,                      1,              0.0005182
                    146,                0.39447,                0.81872,                0.59091,                      1,              0.0005149
                    147,                0.45137,                0.84898,                0.59091,                      1,              0.0005116
                    148,                0.44304,                 1.6397,                0.59091,                      1,              0.0005083
                    149,                0.41169,                 1.7949,                0.59091,                      1,               0.000505
                    150,                  0.502,                  0.459,                      1,                      1,              0.0005017
                    151,                  0.393,                0.39903,                0.95455,                      1,              0.0004984
                    152,                0.45526,                 0.4443,                      1,                      1,              0.0004951
                    153,                 0.4647,                0.37412,                      1,                      1,              0.0004918
                    154,                0.46684,                 1.3095,                0.59091,                      1,              0.0004885
                    155,                0.41727,                0.61649,                0.72727,                      1,              0.0004852
                    156,                0.45519,                0.41758,                      1,                      1,              0.0004819
                    157,                0.42495,                0.64841,                0.63636,                      1,              0.0004786
                    158,                0.40692,                 1.4561,                0.54545,                      1,              0.0004753
                    159,                0.38257,                 1.3413,                    0.5,                      1,               0.000472
                    160,                0.40197,                0.59871,                0.68182,                      1,              0.0004687
                    161,                0.40381,                0.54927,                0.81818,                      1,              0.0004654
                    162,                0.42099,                0.59232,                0.77273,                      1,              0.0004621
                    163,                0.43687,                0.54714,                0.81818,                      1,              0.0004588
                    164,                0.42502,                0.37754,                      1,                      1,              0.0004555
                    165,                0.43605,                0.35793,                      1,                      1,              0.0004522
                    166,                0.40751,                0.38849,                      1,                      1,              0.0004489
                    167,                0.45156,                0.51378,                0.90909,                      1,              0.0004456
                    168,                0.40279,                0.40641,                      1,                      1,              0.0004423
                    169,                0.46014,                0.43564,                0.95455,                      1,               0.000439
                    170,                0.45628,                0.45876,                0.90909,                      1,              0.0004357
                    171,                0.41367,                0.33104,                      1,                      1,              0.0004324
                    172,                0.43906,                0.72271,                0.68182,                      1,              0.0004291
                    173,                0.44013,                0.42024,                0.95455,                      1,              0.0004258
                    174,                0.42565,                0.62037,                0.81818,                      1,              0.0004225
                    175,                0.43798,                0.38632,                      1,                      1,              0.0004192
                    176,                0.38666,                 0.6408,                0.72727,                      1,              0.0004159
                    177,                0.39609,                0.99883,                    0.5,                      1,              0.0004126
                    178,                0.40733,                0.60985,                0.86364,                      1,              0.0004093
                    179,                0.38139,                0.70195,                0.72727,                      1,               0.000406
                    180,                0.42748,                0.74303,                0.54545,                      1,              0.0004027
                    181,                0.39323,                0.46785,                0.95455,                      1,              0.0003994
                    182,                0.39578,                0.54753,                0.86364,                      1,              0.0003961
                    183,                0.39049,                0.85208,                0.59091,                      1,              0.0003928
                    184,                0.41676,                0.64055,                0.77273,                      1,              0.0003895
                    185,                0.46213,                0.48541,                      1,                      1,              0.0003862
                    186,                0.42172,                0.54758,                0.81818,                      1,              0.0003829
                    187,                0.38538,                0.65319,                0.59091,                      1,              0.0003796
                    188,                0.39492,                0.81027,                0.59091,                      1,              0.0003763
                    189,                0.43487,                0.81957,                0.59091,                      1,               0.000373
                    190,                0.37966,                0.53221,                0.77273,                      1,              0.0003697
                    191,                0.42755,                0.50143,                0.90909,                      1,              0.0003664
                    192,                0.43634,                0.31786,                      1,                      1,              0.0003631
                    193,                0.39172,                0.62222,                0.68182,                      1,              0.0003598
                    194,                0.39552,                0.33434,                      1,                      1,              0.0003565
                    195,                0.39718,                0.33929,                      1,                      1,              0.0003532
                    196,                0.40952,                0.35027,                      1,                      1,              0.0003499
                    197,                0.37861,                0.35475,                      1,                      1,              0.0003466
                    198,                0.35828,                0.42776,                0.90909,                      1,              0.0003433
                    199,                 0.4098,                0.42216,                      1,                      1,                0.00034
                    200,                0.36502,                0.52995,                0.86364,                      1,              0.0003367
                    201,                0.41986,                0.36924,                      1,                      1,              0.0003334
                    202,                0.37517,                0.36934,                0.95455,                      1,              0.0003301
                    203,                0.36464,                0.56428,                0.81818,                      1,              0.0003268
                    204,                0.37007,                 0.3509,                      1,                      1,              0.0003235
                    205,                0.35427,                0.35712,                0.95455,                      1,              0.0003202
                    206,                0.42439,                 0.6274,                0.81818,                      1,              0.0003169
                    207,                0.38785,                0.41474,                0.90909,                      1,              0.0003136
                    208,                0.36631,                0.56298,                0.90909,                      1,              0.0003103
                    209,                0.44662,                  0.487,                      1,                      1,               0.000307
                    210,                0.37448,                0.55552,                0.90909,                      1,              0.0003037
                    211,                0.37038,                0.69138,                0.63636,                      1,              0.0003004
                    212,                 0.3564,                0.58119,                0.72727,                      1,              0.0002971
                    213,                0.35818,                0.88244,                0.59091,                      1,              0.0002938
                    214,                0.39241,                 1.1591,                0.59091,                      1,              0.0002905
                    215,                0.36263,                 0.4584,                      1,                      1,              0.0002872
                    216,                 0.3717,                 0.6707,                0.90909,                      1,              0.0002839
                    217,                0.33583,                0.41604,                      1,                      1,              0.0002806
                    218,                 0.3735,                0.39084,                0.95455,                      1,              0.0002773
                    219,                 0.3662,                0.63812,                0.72727,                      1,               0.000274
                    220,                 0.3362,                0.77146,                0.63636,                      1,              0.0002707
                    221,                 0.3605,                  0.466,                0.86364,                      1,              0.0002674
                    222,                0.40012,                0.50835,                0.95455,                      1,              0.0002641
                    223,                0.33396,                0.35736,                      1,                      1,              0.0002608
                    224,                 0.3793,                0.35257,                0.95455,                      1,              0.0002575
                    225,                0.35124,                0.54024,                0.81818,                      1,              0.0002542
                    226,                0.35735,                0.41762,                0.90909,                      1,              0.0002509
                    227,                0.39484,                  0.355,                0.95455,                      1,              0.0002476
                    228,                0.34562,                0.38651,                0.95455,                      1,              0.0002443
                    229,                0.39801,                0.46142,                0.86364,                      1,               0.000241
                    230,                0.39204,                0.48094,                0.90909,                      1,              0.0002377
                    231,                0.36336,                0.37176,                      1,                      1,              0.0002344
                    232,                0.42472,                0.47912,                0.90909,                      1,              0.0002311
                    233,                 0.4167,                0.45933,                0.95455,                      1,              0.0002278
                    234,                0.39751,                0.67776,                0.63636,                      1,              0.0002245
                    235,                0.39503,                0.43798,                0.90909,                      1,              0.0002212
                    236,                0.37754,                0.61518,                0.81818,                      1,              0.0002179
                    237,                0.35259,                0.59553,                0.81818,                      1,              0.0002146
                    238,                0.34055,                0.41879,                0.90909,                      1,              0.0002113
                    239,                0.34885,                0.42154,                0.90909,                      1,               0.000208
                    240,                0.34166,                0.37735,                0.95455,                      1,              0.0002047
                    241,                0.35076,                0.39023,                0.95455,                      1,              0.0002014
                    242,                0.35567,                 0.4828,                0.95455,                      1,              0.0001981
                    243,                 0.3414,                0.35871,                      1,                      1,              0.0001948
                    244,                0.33223,                  0.359,                      1,                      1,              0.0001915
                    245,                0.34995,                0.34542,                0.95455,                      1,              0.0001882
                    246,                0.38373,                0.32774,                      1,                      1,              0.0001849
                    247,                0.37963,                0.33524,                      1,                      1,              0.0001816
                    248,                0.35941,                0.32886,                      1,                      1,              0.0001783
                    249,                0.35787,                0.35286,                      1,                      1,               0.000175
                    250,                0.35973,                0.44501,                0.95455,                      1,              0.0001717
                    251,                0.33054,                0.53978,                0.90909,                      1,              0.0001684
                    252,                0.38798,                0.55412,                0.86364,                      1,              0.0001651
                    253,                 0.3651,                0.66089,                0.77273,                      1,              0.0001618
                    254,                0.33783,                0.59604,                0.81818,                      1,              0.0001585
                    255,                0.35327,                0.37528,                0.95455,                      1,              0.0001552
                    256,                0.32305,                0.38474,                0.95455,                      1,              0.0001519
                    257,                0.33976,                0.32721,                      1,                      1,              0.0001486
                    258,                0.35609,                0.35344,                      1,                      1,              0.0001453
                    259,                0.38858,                0.34195,                      1,                      1,               0.000142
                    260,                0.36186,                0.38797,                0.95455,                      1,              0.0001387
                    261,                0.37212,                0.50728,                0.90909,                      1,              0.0001354
                    262,                0.35469,                0.75307,                0.54545,                      1,              0.0001321
                    263,                0.33795,                0.73631,                0.54545,                      1,              0.0001288
                    264,                0.37683,                0.72861,                0.63636,                      1,              0.0001255
                    265,                0.33085,                0.35235,                0.95455,                      1,              0.0001222
                    266,                0.34776,                0.41991,                0.90909,                      1,              0.0001189
                    267,                0.34634,                 0.3884,                0.95455,                      1,              0.0001156
                    268,                 0.3304,                0.35189,                0.95455,                      1,              0.0001123
                    269,                0.33756,                0.33002,                      1,                      1,               0.000109
                    270,                0.35807,                0.32379,                      1,                      1,              0.0001057
                    271,                 0.3568,                0.31947,                      1,                      1,              0.0001024
                    272,                0.35354,                0.32145,                      1,                      1,               9.91e-05
                    273,                0.34539,                0.32797,                      1,                      1,               9.58e-05
                    274,                0.33422,                 0.3499,                      1,                      1,               9.25e-05
                    275,                0.34533,                0.43037,                0.95455,                      1,               8.92e-05
                    276,                0.31796,                 0.4976,                0.95455,                      1,               8.59e-05
